216,4.25,INSR,7
217,4.25,KLF6,6
218,4.25,MPL,5
219,4.25,MUTYH,5
220,4.25,MYCL1,5
221,4.25,NR3C1,5
222,4.25,PIK3C3,5
223,4.25,PIK3CD,5
224,4.25,PIK3R2,5
225,4.25,PPP1R3A,5
226,4.25,PPP2R1B,5
227,4.25,PTPRB,6
228,4.25,RECQL4,5
229,4.25,ROS1,6
230,4.25,RPS6KA2,5
231,4.25,SDHB,5
232,4.25,SP1,6
233,4.25,THBS1,7
234,4.25,TP73,5
235,4,ANAPC5,4
236,4,ATR,6
237,4,BCL3,4
238,4,BIRC6,4
239,4,BRIP1,4
240,4,CBFA2T3,5
241,4,CDC73,4
242,4,CDK7,4
243,4,CLTC,4
244,4,CSMD3,6
245,4,CSNK1G2,4
246,4,CTNNA1,4
247,4,CYP1B1,6
248,4,DDB2,4
249,4,DGKI,5
250,4,ELOVL2,5
251,4,EP400,6
252,4,EPHA8,5
253,4,EPHB2,6
254,4,ERG,4
255,4,EXT2,4
256,4,FANCC,4
257,4,FANCG,4
258,4,FRAP1,5
259,4,GATA1,4
260,4,GMPS,4
261,4,GPC3,4
262,4,HDAC4,4
263,4,HIPK2,5
264,4,HMGA1,6
265,4,HOXD11,4
266,4,IDH1,4
267,4,IGF1R,6
268,4,IGFBP3,6
269,4,KALRN,6
270,4,KAT2B,4
271,4,LAMA1,4
272,4,LAMP1,5
273,4,LDHA,5
274,4,LTBP1,5
275,4,MAPK3,6
276,4,MAPK8IP2,6
277,4,MINPP1,4
278,4,MLL,4
279,4,MLL3,5
280,4,MST1R,6
281,4,MUC1,6
282,4,MYST4,5
283,4,NAV3,5
284,4,NOTCH2,4
285,4,NSD1,4
286,4,PAFAH1B2,4
287,4,PAK7,6
288,4,PARP2,4
289,4,PIGS,4
290,4,POLE,4
291,4,PPP1R13L,4
292,4,PPP2CB,4
293,4,PPP2R2B,4
294,4,PTCH2,4
295,4,PTK2,6
296,4,PTPRD,4
297,4,RAD51L1,4
298,4,RHEB,4
299,4,RHOA,6
300,4,RPS6KA1,4
301,4,RPS6KB1,4
302,4,RUNX1T1,6
303,4,SDHC,4
304,4,SDHD,4
305,4,SNCG,5
306,4,SOCS2,5
307,4,SPEN,4
308,4,TFE3,4
309,4,TGFBR1,5
310,4,TLX1,4
311,4,TNK2,5
312,4,ZNF331,4
313,3.75,ADM,5
314,3.75,APEX1,5
315,3.75,AXL,6
316,3.75,BIRC3,5
317,3.75,BMP4,5
318,3.75,BMPR1A,5
319,3.75,CDC25A,5
320,3.75,CHN1,6
321,3.75,DDIT3,6
322,3.75,DGKG,5
323,3.75,ENPP2,6
324,3.75,EPHA2,6
325,3.75,ETS2,5
326,3.75,FHIT,5
327,3.75,FURIN,6
328,3.75,GSTT1,5
329,3.75,HDAC3,5
330,3.75,ICAM1,5
331,3.75,IL2,5
332,3.75,IL2RA,5
333,3.75,ITGB3,6
334,3.75,JAK3,5
335,3.75,MAP3K1,5
336,3.75,MAPK9,6
337,3.75,MYCN,6
338,3.75,NUP214,5
339,3.75,PGR,6
340,3.75,PPARA,5
341,3.75,PRKCG,5
342,3.75,PTPRC,5
343,3.75,PTPRF,5
344,3.75,RAF1,5
345,3.75,SMO,5
346,3.75,SUFU,5
347,3.75,TAL1,5
348,3.75,TGFB3,5
349,3.75,TK1,5
350,3.75,VDR,5
351,3.5,ABCG2,4
